  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   8.500   1.3205   0.01572   0.00921  -0.0956   0.0124   1.0000
   8.750   1.3408   0.01630   0.00982  -0.0944   0.0115   1.0000
   9.000   1.3581   0.01713   0.01071  -0.0927   0.0106   1.0000
   9.250   1.3757   0.01786   0.01153  -0.0911   0.0102   1.0000
   9.500   1.3944   0.01845   0.01218  -0.0897   0.0100   1.0000
   9.750   1.4116   0.01913   0.01292  -0.0880   0.0097   1.0000
  10.000   1.4273   0.01979   0.01365  -0.0862   0.0094   1.0000
  10.250   1.4408   0.02046   0.01437  -0.0839   0.0090   1.0000
  10.500   1.4538   0.02115   0.01511  -0.0817   0.0087   1.0000
  10.750   1.4652   0.02194   0.01595  -0.0793   0.0084   1.0000
  11.000   1.4746   0.02287   0.01696  -0.0767   0.0082   1.0000
  11.250   1.4808   0.02405   0.01821  -0.0739   0.0079   1.0000
  11.500   1.4828   0.02558   0.01985  -0.0708   0.0077   1.0000
  11.750   1.4786   0.02770   0.02210  -0.0673   0.0075   1.0000
  12.000   1.4825   0.02931   0.02382  -0.0649   0.0074   1.0000
  12.250   1.4891   0.03076   0.02536  -0.0630   0.0073   1.0000
  12.500   1.4961   0.03222   0.02692  -0.0613   0.0072   1.0000
  12.750   1.5014   0.03390   0.02870  -0.0596   0.0071   1.0000
  13.000   1.5050   0.03581   0.03071  -0.0580   0.0070   1.0000
  13.250   1.5078   0.03787   0.03288  -0.0566   0.0069   1.0000
  13.500   1.5112   0.03994   0.03506  -0.0554   0.0068   1.0000
  13.750   1.5114   0.04246   0.03769  -0.0543   0.0067   1.0000
  14.000   1.5102   0.04522   0.04058  -0.0534   0.0066   1.0000
  14.250   1.5103   0.04794   0.04341  -0.0528   0.0065   1.0000
  14.500   1.5082   0.05105   0.04663  -0.0524   0.0064   1.0000
  14.750   1.5079   0.05403   0.04972  -0.0523   0.0063   1.0000
  15.000   1.5041   0.05764   0.05345  -0.0525   0.0062   1.0000
  15.250   1.5003   0.06141   0.05734  -0.0530   0.0061   1.0000
  15.500   1.4958   0.06544   0.06148  -0.0538   0.0060   1.0000
  15.750   1.4930   0.06939   0.06553  -0.0550   0.0059   1.0000
  16.000   1.4872   0.07398   0.07023  -0.0564   0.0058   1.0000
  16.250   1.4802   0.07891   0.07528  -0.0581   0.0058   1.0000
  16.500   1.4701   0.08453   0.08103  -0.0603   0.0057   1.0000
  16.750   1.4607   0.09026   0.08687  -0.0627   0.0057   1.0000
  17.000   1.4499   0.09641   0.09315  -0.0655   0.0056   1.0000
  17.250   1.4383   0.10287   0.09973  -0.0686   0.0056   1.0000
  17.500   1.4250   0.10986   0.10685  -0.0721   0.0055   1.0000
  17.750   1.4116   0.11710   0.11423  -0.0759   0.0055   1.0000
  18.000   1.3978   0.12463   0.12190  -0.0801   0.0055   1.0000
  18.250   1.3835   0.13241   0.12981  -0.0845   0.0055   1.0000
  18.500   1.3691   0.14045   0.13798  -0.0893   0.0055   1.0000
  18.750   1.3547   0.14874   0.14640  -0.0944   0.0055   1.0000
  19.000   1.3405   0.15717   0.15496  -0.0997   0.0055   1.0000
