  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.000  -0.9764   0.08894   0.08410  -0.0168   0.3750   0.1046
 -15.750  -1.0795   0.07619   0.07295  -0.0181   0.9991   0.1127
 -15.500  -1.2484   0.05519   0.05155  -0.0276   1.0000   0.1072
 -15.250  -1.4578   0.02614   0.02150  -0.0462   1.0000   0.0932
 -15.000  -1.4765   0.02344   0.01867  -0.0443   1.0000   0.0954
 -14.750  -1.5061   0.02096   0.01614  -0.0387   1.0000   0.1039
 -14.500  -1.5297   0.01924   0.01440  -0.0320   1.0000   0.1137
 -14.250  -1.5188   0.01855   0.01366  -0.0294   1.0000   0.1158
 -14.000  -1.5540   0.01525   0.01077  -0.0217   1.0000   0.1744
 -13.750  -1.5274   0.01536   0.01094  -0.0209   1.0000   0.1851
 -13.500  -1.4050   0.01543   0.01073  -0.0383   0.8467   0.1911
 -13.250  -1.3658   0.01626   0.01044  -0.0407   0.3920   0.1932
 -13.000  -1.3322   0.01676   0.01087  -0.0412   0.3438   0.1968
 -12.750  -1.3026   0.01696   0.01103  -0.0410   0.3347   0.1987
 -12.500  -1.2739   0.01702   0.01103  -0.0407   0.3258   0.2000
 -12.250  -1.2458   0.01711   0.01110  -0.0403   0.3230   0.2013
 -12.000  -1.2175   0.01719   0.01114  -0.0399   0.3193   0.2023
 -11.750  -1.1887   0.01733   0.01123  -0.0396   0.3159   0.2031
 -11.500  -1.1569   0.01783   0.01171  -0.0396   0.3117   0.2040
 -11.250  -1.1261   0.01806   0.01191  -0.0396   0.3068   0.2043
 -11.000  -1.1052   0.01700   0.01074  -0.0388   0.3046   0.2067
 -10.750  -1.0787   0.01667   0.01036  -0.0384   0.3029   0.2072
 -10.500  -1.0505   0.01654   0.01022  -0.0381   0.3012   0.2085
 -10.250  -1.0217   0.01641   0.01006  -0.0379   0.2986   0.2091
 -10.000  -0.9918   0.01639   0.01003  -0.0379   0.2966   0.2099
  -9.750  -0.9608   0.01644   0.01007  -0.0380   0.2938   0.2107
  -9.500  -0.9294   0.01637   0.00996  -0.0384   0.2912   0.2113
  -9.250  -0.8968   0.01634   0.00989  -0.0389   0.2877   0.2119
  -9.000  -0.8661   0.01623   0.00973  -0.0391   0.2847   0.2123
  -8.750  -0.8387   0.01607   0.00955  -0.0386   0.2839   0.2127
  -8.500  -0.8103   0.01611   0.00958  -0.0382   0.2826   0.2136
  -8.250  -0.7829   0.01593   0.00937  -0.0377   0.2813   0.2139
  -8.000  -0.7556   0.01577   0.00917  -0.0372   0.2793   0.2143
  -7.750  -0.7278   0.01571   0.00908  -0.0367   0.2772   0.2150
  -7.500  -0.7004   0.01556   0.00888  -0.0361   0.2753   0.2154
  -7.250  -0.6724   0.01555   0.00884  -0.0356   0.2731   0.2162
  -7.000  -0.6453   0.01535   0.00858  -0.0351   0.2707   0.2164
  -6.750  -0.6176   0.01515   0.00833  -0.0347   0.2673   0.2165
  -6.500  -0.5897   0.01511   0.00826  -0.0342   0.2649   0.2171
  -6.250  -0.5629   0.01500   0.00812  -0.0335   0.2639   0.2175
  -6.000  -0.5364   0.01482   0.00791  -0.0328   0.2624   0.2177
  -5.750  -0.5095   0.01469   0.00775  -0.0321   0.2608   0.2180
  -5.500  -0.4832   0.01447   0.00749  -0.0313   0.2590   0.2181
  -5.250  -0.4564   0.01436   0.00734  -0.0305   0.2569   0.2184
  -5.000  -0.4291   0.01437   0.00733  -0.0299   0.2552   0.2189
  -4.750  -0.4021   0.01437   0.00729  -0.0291   0.2527   0.2193
  -4.500  -0.3757   0.01419   0.00705  -0.0284   0.2491   0.2193
  -4.250  -0.3486   0.01423   0.00706  -0.0277   0.2463   0.2196
  -4.000  -0.3224   0.01405   0.00686  -0.0268   0.2455   0.2196
  -3.750  -0.2961   0.01388   0.00666  -0.0260   0.2446   0.2197
  -3.500  -0.2699   0.01371   0.00647  -0.0251   0.2433   0.2197
  -3.250  -0.2436   0.01358   0.00632  -0.0243   0.2424   0.2198
  -3.000  -0.2174   0.01344   0.00616  -0.0234   0.2409   0.2198
  -2.750  -0.1912   0.01329   0.00598  -0.0225   0.2396   0.2199
  -2.500  -0.1650   0.01316   0.00583  -0.0217   0.2380   0.2200
  -2.250  -0.1389   0.01305   0.00569  -0.0208   0.2368   0.2200
  -2.000  -0.1127   0.01294   0.00555  -0.0199   0.2353   0.2201
  -1.750  -0.0867   0.01285   0.00542  -0.0189   0.2331   0.2201
  -1.500  -0.0609   0.01281   0.00535  -0.0180   0.2312   0.2202
  -1.250  -0.0352   0.01279   0.00531  -0.0170   0.2287   0.2202
  -1.000  -0.0091   0.01268   0.00520  -0.0161   0.2282   0.2203
  -0.750   0.0161   0.01242   0.00491  -0.0151   0.2274   0.2209
  -0.500   0.0421   0.01236   0.00485  -0.0141   0.2268   0.2210
  -0.250   0.0677   0.01225   0.00473  -0.0131   0.2260   0.2213
   0.000   0.0931   0.01214   0.00461  -0.0120   0.2252   0.2218
   0.250   0.1185   0.01203   0.00450  -0.0110   0.2242   0.2223
   0.500   0.1438   0.01194   0.00441  -0.0099   0.2231   0.2230
   0.750   0.1693   0.01190   0.00437  -0.0089   0.2223   0.2236
   1.000   0.1949   0.01186   0.00432  -0.0078   0.2212   0.2238
   1.250   0.2201   0.01181   0.00427  -0.0067   0.2200   0.2250
   1.500   0.2456   0.01181   0.00426  -0.0057   0.2190   0.2255
   1.750   0.2709   0.01181   0.00426  -0.0046   0.2177   0.2259
   2.000   0.2960   0.01184   0.00428  -0.0035   0.2162   0.2267
   2.250   0.3211   0.01191   0.00435  -0.0024   0.2148   0.2279
   2.500   0.3459   0.01201   0.00445  -0.0013   0.2130   0.2280
   2.750   0.3711   0.01209   0.00455  -0.0002   0.2121   0.2288
   3.000   0.3970   0.01206   0.00454   0.0008   0.2115   0.2300
   3.250   0.4225   0.01213   0.00462   0.0018   0.2112   0.2305
   3.500   0.4483   0.01213   0.00465   0.0028   0.2106   0.2320
   3.750   0.4739   0.01215   0.00468   0.0038   0.2098   0.2327
   4.000   0.4993   0.01216   0.00470   0.0048   0.2089   0.2333
   4.250   0.5247   0.01223   0.00479   0.0058   0.2083   0.2344
