  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 88-K-136/16                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.250  -0.8205   0.04626   0.04310  -0.1020   0.7789   0.0049
 -15.000  -0.8578   0.04021   0.03684  -0.1030   0.7780   0.0049
 -14.750  -0.8732   0.03717   0.03366  -0.1015   0.7772   0.0050
 -14.500  -0.8868   0.03457   0.03092  -0.0990   0.7762   0.0051
 -14.250  -0.8969   0.03241   0.02860  -0.0960   0.7753   0.0051
 -14.000  -0.9060   0.03041   0.02643  -0.0925   0.7744   0.0051
 -13.750  -0.9087   0.02884   0.02471  -0.0892   0.7737   0.0052
 -13.500  -0.9009   0.02791   0.02370  -0.0869   0.7730   0.0053
 -13.250  -0.9027   0.02642   0.02204  -0.0832   0.7723   0.0053
 -13.000  -0.8956   0.02546   0.02098  -0.0805   0.7716   0.0054
 -12.750  -0.8891   0.02446   0.01986  -0.0776   0.7709   0.0055
 -12.500  -0.8792   0.02365   0.01896  -0.0751   0.7702   0.0056
 -12.250  -0.8701   0.02277   0.01798  -0.0723   0.7694   0.0057
 -12.000  -0.8590   0.02203   0.01714  -0.0698   0.7685   0.0057
 -11.750  -0.8466   0.02137   0.01639  -0.0674   0.7675   0.0059
 -11.500  -0.8329   0.02068   0.01560  -0.0653   0.7665   0.0061
 -11.250  -0.8176   0.01994   0.01475  -0.0635   0.7656   0.0062
 -11.000  -0.8008   0.01927   0.01398  -0.0618   0.7647   0.0062
 -10.750  -0.7826   0.01865   0.01327  -0.0604   0.7638   0.0064
 -10.500  -0.7639   0.01805   0.01257  -0.0591   0.7630   0.0066
 -10.250  -0.7435   0.01756   0.01200  -0.0580   0.7623   0.0068
