  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-145                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.6004   0.05412   0.05040  -0.0728   1.0000   0.0211
 -11.000  -0.6445   0.04644   0.04246  -0.0773   1.0000   0.0209
 -10.750  -0.6605   0.04072   0.03632  -0.0807   0.9552   0.0211
 -10.500  -0.6440   0.03512   0.02998  -0.0868   0.8929   0.0219
 -10.250  -0.6268   0.03173   0.02586  -0.0889   0.8485   0.0228
 -10.000  -0.6059   0.03055   0.02450  -0.0892   0.8176   0.0234
  -9.750  -0.5860   0.02954   0.02329  -0.0890   0.7940   0.0241
  -9.500  -0.5668   0.02831   0.02177  -0.0887   0.7749   0.0249
  -9.250  -0.5476   0.02690   0.02003  -0.0883   0.7585   0.0257
  -9.000  -0.5273   0.02549   0.01828  -0.0879   0.7441   0.0266
  -8.750  -0.5057   0.02424   0.01667  -0.0874   0.7315   0.0276
  -8.500  -0.4832   0.02339   0.01573  -0.0872   0.7205   0.0287
  -8.250  -0.4593   0.02278   0.01499  -0.0870   0.7103   0.0300
  -8.000  -0.4352   0.02203   0.01405  -0.0868   0.7017   0.0315
  -7.750  -0.4108   0.02120   0.01297  -0.0865   0.6934   0.0331
  -7.500  -0.3865   0.02038   0.01204  -0.0863   0.6859   0.0345
  -7.250  -0.3614   0.01983   0.01140  -0.0862   0.6786   0.0362
  -7.000  -0.3357   0.01933   0.01076  -0.0860   0.6722   0.0386
  -6.750  -0.3099   0.01874   0.01003  -0.0859   0.6659   0.0410
  -6.500  -0.2843   0.01822   0.00945  -0.0858   0.6606   0.0433
  -6.250  -0.2579   0.01779   0.00892  -0.0858   0.6556   0.0464
  -6.000  -0.2315   0.01732   0.00836  -0.0857   0.6503   0.0498
  -5.750  -0.2051   0.01692   0.00791  -0.0857   0.6455   0.0534
  -5.500  -0.1781   0.01660   0.00746  -0.0857   0.6412   0.0577
  -5.250  -0.1514   0.01617   0.00704  -0.0857   0.6363   0.0625
  -5.000  -0.1241   0.01589   0.00667  -0.0858   0.6321   0.0680
  -4.750  -0.0971   0.01556   0.00631  -0.0858   0.6285   0.0743
  -4.500  -0.0695   0.01532   0.00598  -0.0859   0.6251   0.0817
  -4.250  -0.0421   0.01501   0.00571  -0.0860   0.6211   0.0908
  -4.000  -0.0144   0.01476   0.00544  -0.0861   0.6172   0.1012
  -3.750   0.0132   0.01453   0.00520  -0.0863   0.6137   0.1146
  -3.250   0.0689   0.01411   0.00482  -0.0866   0.6073   0.1522
  -3.000   0.0968   0.01388   0.00466  -0.0869   0.6040   0.1776
  -2.750   0.1247   0.01366   0.00452  -0.0871   0.6009   0.2101
  -2.500   0.1525   0.01340   0.00439  -0.0874   0.5979   0.2543
  -2.250   0.1800   0.01308   0.00427  -0.0877   0.5953   0.3218
  -2.000   0.2073   0.01268   0.00422  -0.0879   0.5921   0.4176
  -1.750   0.2341   0.01234   0.00424  -0.0879   0.5890   0.5185
  -1.500   0.2606   0.01213   0.00430  -0.0876   0.5861   0.6013
  -1.250   0.2867   0.01204   0.00438  -0.0871   0.5835   0.6638
  -1.000   0.3126   0.01203   0.00446  -0.0864   0.5811   0.7132
  -0.750   0.3385   0.01208   0.00453  -0.0858   0.5789   0.7525
  -0.500   0.3641   0.01213   0.00465  -0.0850   0.5758   0.7823
  -0.250   0.3898   0.01220   0.00474  -0.0844   0.5728   0.8064
   0.000   0.4152   0.01228   0.00483  -0.0836   0.5702   0.8275
   0.250   0.4403   0.01238   0.00491  -0.0828   0.5678   0.8487
   0.500   0.4626   0.01247   0.00501  -0.0812   0.5656   0.8732
   0.750   0.4849   0.01257   0.00507  -0.0797   0.5635   0.8961
   1.000   0.5088   0.01262   0.00514  -0.0787   0.5608   0.9106
   1.250   0.5339   0.01267   0.00520  -0.0780   0.5579   0.9225
   1.500   0.5602   0.01272   0.00525  -0.0776   0.5554   0.9338
   1.750   0.5875   0.01277   0.00529  -0.0775   0.5530   0.9452
   2.000   0.6168   0.01283   0.00532  -0.0778   0.5507   0.9560
   2.250   0.6491   0.01290   0.00535  -0.0788   0.5485   0.9656
   2.500   0.6827   0.01300   0.00544  -0.0802   0.5460   0.9754
   2.750   0.7174   0.01311   0.00559  -0.0819   0.5432   0.9859
   3.000   0.7514   0.01321   0.00572  -0.0835   0.5404   1.0000
   3.250   0.7780   0.01336   0.00587  -0.0836   0.5377   1.0000
   3.500   0.8057   0.01351   0.00601  -0.0838   0.5353   1.0000
   3.750   0.8339   0.01367   0.00616  -0.0842   0.5331   1.0000
   4.000   0.8621   0.01386   0.00635  -0.0845   0.5308   1.0000
   4.250   0.8895   0.01406   0.00663  -0.0848   0.5276   1.0000
   4.500   0.9173   0.01425   0.00687  -0.0850   0.5246   1.0000
   4.750   0.9454   0.01443   0.00708  -0.0853   0.5217   1.0000
   5.000   0.9737   0.01459   0.00728  -0.0857   0.5191   1.0000
   5.250   1.0024   0.01477   0.00745  -0.0860   0.5168   1.0000
   5.500   1.0292   0.01500   0.00779  -0.0861   0.5132   1.0000
   5.750   1.0561   0.01519   0.00808  -0.0862   0.5091   1.0000
   6.000   1.0836   0.01533   0.00826  -0.0864   0.5050   1.0000
   6.250   1.1117   0.01541   0.00832  -0.0865   0.5008   1.0000
   6.500   1.1366   0.01555   0.00863  -0.0863   0.4936   1.0000
   6.750   1.1635   0.01559   0.00869  -0.0862   0.4875   1.0000
   7.000   1.1890   0.01574   0.00895  -0.0860   0.4809   1.0000
   7.250   1.2147   0.01583   0.00911  -0.0857   0.4736   1.0000
   7.500   1.2397   0.01596   0.00934  -0.0854   0.4652   1.0000
   7.750   1.2648   0.01604   0.00944  -0.0850   0.4562   1.0000
   8.000   1.2884   0.01622   0.00975  -0.0845   0.4448   1.0000
   8.250   1.3119   0.01640   0.01002  -0.0840   0.4329   1.0000
   8.500   1.3343   0.01662   0.01030  -0.0832   0.4183   1.0000
   8.750   1.3546   0.01690   0.01057  -0.0821   0.3977   1.0000
   9.000   1.3710   0.01736   0.01095  -0.0805   0.3667   1.0000
   9.250   1.3799   0.01822   0.01160  -0.0778   0.3241   1.0000
   9.500   1.3808   0.01952   0.01265  -0.0742   0.2805   1.0000
   9.750   1.3757   0.02102   0.01396  -0.0699   0.2453   1.0000
  10.000   1.3704   0.02280   0.01560  -0.0662   0.2153   1.0000
  10.250   1.3648   0.02488   0.01758  -0.0633   0.1900   1.0000
  10.500   1.3603   0.02725   0.01988  -0.0613   0.1677   1.0000
  10.750   1.3557   0.02992   0.02249  -0.0599   0.1486   1.0000
  11.000   1.3527   0.03266   0.02519  -0.0589   0.1312   1.0000
  11.250   1.3497   0.03549   0.02801  -0.0581   0.1159   1.0000
  11.500   1.3470   0.03835   0.03085  -0.0573   0.1023   1.0000
  11.750   1.3444   0.04121   0.03369  -0.0566   0.0906   1.0000
  12.000   1.3420   0.04408   0.03654  -0.0559   0.0801   1.0000
  12.250   1.3394   0.04696   0.03942  -0.0552   0.0711   1.0000
  12.500   1.3381   0.04973   0.04221  -0.0546   0.0630   1.0000
  12.750   1.3371   0.05250   0.04500  -0.0540   0.0562   1.0000
  13.000   1.3349   0.05543   0.04794  -0.0535   0.0504   1.0000
  13.250   1.3350   0.05820   0.05077  -0.0532   0.0451   1.0000
  13.500   1.3342   0.06114   0.05374  -0.0528   0.0409   1.0000
  13.750   1.3343   0.06402   0.05668  -0.0526   0.0371   1.0000
