  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.4478   0.08335   0.08160  -0.0421   1.0000   0.0235
 -11.000  -0.4962   0.07054   0.06872  -0.0529   1.0000   0.0235
 -10.750  -0.5316   0.06532   0.06342  -0.0542   1.0000   0.0235
 -10.500  -0.5619   0.06231   0.06035  -0.0517   1.0000   0.0236
 -10.250  -0.5987   0.06043   0.05840  -0.0455   1.0000   0.0236
 -10.000  -0.6033   0.05837   0.05628  -0.0440   0.9980   0.0238
  -9.750  -0.5928   0.05389   0.05165  -0.0467   0.9937   0.0241
  -9.500  -0.5819   0.05039   0.04799  -0.0476   0.9885   0.0248
  -9.250  -0.6201   0.03487   0.03137  -0.0441   0.9818   0.0264
  -9.000  -0.6011   0.03289   0.02930  -0.0438   0.9752   0.0265
  -8.750  -0.5781   0.02998   0.02618  -0.0443   0.9715   0.0266
  -8.500  -0.5488   0.02838   0.02449  -0.0455   0.9694   0.0268
  -8.250  -0.5435   0.02086   0.01621  -0.0425   0.9619   0.0252
  -8.000  -0.5144   0.01920   0.01427  -0.0429   0.9576   0.0259
  -7.750  -0.4816   0.01841   0.01330  -0.0438   0.9530   0.0261
  -7.500  -0.4559   0.01646   0.01119  -0.0436   0.9446   0.0264
  -7.250  -0.4223   0.01539   0.01007  -0.0448   0.9385   0.0267
  -7.000  -0.3963   0.01477   0.00942  -0.0443   0.9280   0.0270
  -6.750  -0.3676   0.01424   0.00885  -0.0444   0.9160   0.0273
  -6.500  -0.3405   0.01378   0.00833  -0.0440   0.9007   0.0277
  -6.250  -0.3154   0.01333   0.00780  -0.0432   0.8803   0.0280
  -6.000  -0.2913   0.01291   0.00729  -0.0421   0.8589   0.0284
  -5.750  -0.2681   0.01257   0.00685  -0.0409   0.8372   0.0288
  -5.500  -0.2458   0.01230   0.00646  -0.0394   0.8130   0.0293
  -5.250  -0.2243   0.01206   0.00609  -0.0378   0.7866   0.0296
  -5.000  -0.2025   0.01189   0.00579  -0.0362   0.7603   0.0299
  -4.750  -0.1816   0.01163   0.00542  -0.0345   0.7351   0.0300
  -4.500  -0.1639   0.01109   0.00479  -0.0323   0.7105   0.0305
  -4.250  -0.1437   0.01086   0.00448  -0.0306   0.6857   0.0309
  -4.000  -0.1228   0.01068   0.00422  -0.0289   0.6620   0.0314
  -3.750  -0.1015   0.01055   0.00400  -0.0273   0.6388   0.0318
  -3.500  -0.0796   0.01044   0.00380  -0.0259   0.6158   0.0324
  -3.250  -0.0577   0.01032   0.00359  -0.0244   0.5919   0.0329
  -3.000  -0.0355   0.01024   0.00342  -0.0230   0.5662   0.0335
  -2.750  -0.0127   0.01023   0.00329  -0.0217   0.5409   0.0341
  -2.500   0.0082   0.01004   0.00301  -0.0201   0.5163   0.0350
  -2.250   0.0308   0.00997   0.00286  -0.0188   0.4924   0.0358
  -2.000   0.0540   0.00994   0.00275  -0.0176   0.4699   0.0368
  -1.750   0.0776   0.00993   0.00265  -0.0165   0.4492   0.0377
  -1.500   0.1017   0.00993   0.00256  -0.0155   0.4306   0.0386
  -1.250   0.1251   0.00985   0.00244  -0.0144   0.4139   0.0405
  -1.000   0.1495   0.00984   0.00238  -0.0135   0.3983   0.0425
  -0.750   0.1739   0.00983   0.00232  -0.0126   0.3837   0.0454
  -0.500   0.1981   0.00983   0.00228  -0.0116   0.3700   0.0509
  -0.250   0.2225   0.00980   0.00228  -0.0107   0.3579   0.0659
   0.000   0.2473   0.00978   0.00227  -0.0099   0.3473   0.0833
   0.250   0.2713   0.00978   0.00226  -0.0090   0.3358   0.1008
   0.500   0.2785   0.00862   0.00206  -0.0051   0.3290   0.4325
   0.750   0.2924   0.00813   0.00204  -0.0022   0.3195   0.5811
   1.000   0.3085   0.00785   0.00207   0.0004   0.3108   0.6796
   1.250   0.3270   0.00777   0.00212   0.0026   0.3000   0.7369
   1.500   0.3474   0.00769   0.00217   0.0044   0.2905   0.7812
   1.750   0.3674   0.00766   0.00225   0.0063   0.2800   0.8293
   2.000   0.3909   0.00767   0.00238   0.0075   0.2684   0.8810
   2.250   0.4220   0.00780   0.00254   0.0071   0.2585   0.9126
   2.500   0.4550   0.00802   0.00272   0.0061   0.2486   0.9323
   2.750   0.4872   0.00817   0.00284   0.0054   0.2428   0.9420
   3.000   0.5198   0.00839   0.00300   0.0045   0.2360   0.9501
   3.250   0.5537   0.00860   0.00318   0.0033   0.2306   0.9570
   3.500   0.5910   0.00880   0.00335   0.0013   0.2262   0.9600
   3.750   0.6264   0.00903   0.00352  -0.0002   0.2217   0.9635
   4.000   0.6556   0.00931   0.00375  -0.0004   0.2168   0.9697
   4.250   0.6941   0.00949   0.00393  -0.0027   0.2143   0.9709
   4.500   0.7306   0.00966   0.00409  -0.0045   0.2114   0.9722
   4.750   0.7662   0.00987   0.00426  -0.0062   0.2081   0.9739
   5.000   0.8003   0.01010   0.00445  -0.0076   0.2044   0.9761
   5.250   0.8303   0.01037   0.00469  -0.0081   0.2006   0.9797
   5.500   0.8613   0.01050   0.00484  -0.0088   0.1988   0.9826
   5.750   0.8980   0.01065   0.00498  -0.0108   0.1962   0.9836
   6.000   0.9334   0.01083   0.00514  -0.0125   0.1931   0.9848
   6.250   0.9676   0.01105   0.00532  -0.0141   0.1896   0.9864
   6.500   1.0000   0.01133   0.00558  -0.0153   0.1856   0.9884
   6.750   1.0329   0.01145   0.00572  -0.0165   0.1839   0.9904
   7.000   1.0640   0.01161   0.00589  -0.0173   0.1815   0.9926
   7.250   1.0968   0.01178   0.00605  -0.0185   0.1784   0.9940
   7.500   1.1303   0.01199   0.00624  -0.0200   0.1748   0.9953
   7.750   1.1628   0.01225   0.00647  -0.0214   0.1712   0.9969
   8.000   1.1963   0.01237   0.00663  -0.0228   0.1690   0.9983
   8.250   1.2293   0.01254   0.00680  -0.0241   0.1659   0.9996
   8.500   1.2513   0.01274   0.00699  -0.0233   0.1628   1.0000
   8.750   1.2651   0.01301   0.00724  -0.0208   0.1593   1.0000
   9.000   1.2807   0.01319   0.00744  -0.0185   0.1571   1.0000
   9.250   1.2964   0.01335   0.00764  -0.0163   0.1551   1.0000
