  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   8.750   1.0532   0.01220   0.00631  -0.0063   0.0518   1.0000
   9.000   1.0780   0.01257   0.00669  -0.0058   0.0486   1.0000
   9.250   1.1032   0.01288   0.00703  -0.0055   0.0461   1.0000
   9.500   1.1275   0.01330   0.00744  -0.0050   0.0432   1.0000
   9.750   1.1516   0.01375   0.00791  -0.0045   0.0408   1.0000
  10.000   1.1767   0.01405   0.00825  -0.0041   0.0393   1.0000
  10.250   1.2011   0.01443   0.00866  -0.0037   0.0376   1.0000
  10.500   1.2246   0.01491   0.00914  -0.0032   0.0358   1.0000
  10.750   1.2472   0.01551   0.00978  -0.0026   0.0340   1.0000
  11.000   1.2716   0.01584   0.01017  -0.0022   0.0331   1.0000
  11.250   1.2955   0.01622   0.01061  -0.0017   0.0320   1.0000
  11.500   1.3188   0.01667   0.01108  -0.0012   0.0306   1.0000
  11.750   1.3406   0.01726   0.01169  -0.0006   0.0289   1.0000
  12.000   1.3628   0.01780   0.01227   0.0000   0.0276   1.0000
  12.250   1.3861   0.01817   0.01271   0.0005   0.0265   1.0000
  12.500   1.4083   0.01865   0.01322   0.0010   0.0250   1.0000
  12.750   1.4282   0.01937   0.01395   0.0018   0.0231   1.0000
  13.000   1.4503   0.01980   0.01445   0.0024   0.0217   1.0000
  13.250   1.4705   0.02042   0.01508   0.0031   0.0196   1.0000
  13.500   1.4893   0.02114   0.01585   0.0040   0.0174   1.0000
  13.750   1.5054   0.02207   0.01678   0.0052   0.0150   1.0000
  14.000   1.5215   0.02294   0.01772   0.0063   0.0135   1.0000
  14.250   1.5335   0.02410   0.01892   0.0078   0.0121   1.0000
  14.500   1.5444   0.02515   0.02007   0.0095   0.0114   1.0000
  14.750   1.5520   0.02627   0.02127   0.0116   0.0109   1.0000
  15.000   1.5568   0.02763   0.02271   0.0136   0.0104   1.0000
  15.250   1.5584   0.02932   0.02451   0.0153   0.0099   1.0000
  15.500   1.5552   0.03165   0.02696   0.0166   0.0095   1.0000
  15.750   1.5537   0.03412   0.02955   0.0171   0.0093   1.0000
  16.000   1.5530   0.03680   0.03237   0.0168   0.0091   1.0000
  16.250   1.5491   0.04015   0.03585   0.0159   0.0089   1.0000
  16.500   1.5415   0.04434   0.04019   0.0141   0.0088   1.0000
  16.750   1.5292   0.04961   0.04562   0.0113   0.0087   1.0000
  17.000   1.5106   0.05625   0.05242   0.0075   0.0087   1.0000
  17.250   1.4828   0.06470   0.06106   0.0026   0.0087   1.0000
  17.500   1.4449   0.07504   0.07160  -0.0032   0.0088   1.0000
  17.750   1.3941   0.08761   0.08437  -0.0097   0.0090   1.0000
  18.000   1.3351   0.10171   0.09865  -0.0169   0.0093   1.0000
