  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.000  -1.0902   0.10811   0.10502  -0.0412   1.0000   0.0156
 -18.750  -1.1234   0.09847   0.09523  -0.0463   1.0000   0.0156
 -18.500  -1.1543   0.08933   0.08595  -0.0511   1.0000   0.0155
 -18.250  -1.1829   0.08076   0.07723  -0.0557   1.0000   0.0155
 -18.000  -1.2067   0.07318   0.06951  -0.0597   1.0000   0.0155
 -17.750  -1.2267   0.06656   0.06274  -0.0631   1.0000   0.0156
 -17.500  -1.2430   0.06083   0.05689  -0.0657   1.0000   0.0156
 -17.250  -1.2563   0.05596   0.05189  -0.0676   1.0000   0.0157
 -17.000  -1.2672   0.05175   0.04758  -0.0688   1.0000   0.0157
 -16.750  -1.2752   0.04825   0.04397  -0.0694   1.0000   0.0158
 -16.500  -1.2818   0.04516   0.04080  -0.0695   1.0000   0.0159
 -16.250  -1.2865   0.04253   0.03808  -0.0691   1.0000   0.0159
 -16.000  -1.2900   0.04022   0.03570  -0.0683   1.0000   0.0160
 -15.750  -1.2927   0.03819   0.03359  -0.0672   1.0000   0.0161
 -15.500  -1.2945   0.03639   0.03172  -0.0659   1.0000   0.0162
 -15.250  -1.2864   0.03461   0.02987  -0.0662   0.9995   0.0163
 -15.000  -1.2756   0.03294   0.02813  -0.0667   0.9989   0.0164
 -14.750  -1.2624   0.03146   0.02659  -0.0673   0.9980   0.0166
 -14.500  -1.2489   0.03007   0.02514  -0.0678   0.9972   0.0167
 -14.250  -1.2337   0.02884   0.02384  -0.0682   0.9963   0.0169
 -14.000  -1.2176   0.02767   0.02261  -0.0688   0.9955   0.0170
 -13.750  -1.1998   0.02660   0.02148  -0.0693   0.9947   0.0172
 -13.500  -1.1806   0.02560   0.02043  -0.0700   0.9941   0.0173
 -13.250  -1.1666   0.02468   0.01946  -0.0695   0.9926   0.0175
 -13.000  -1.1523   0.02384   0.01858  -0.0689   0.9906   0.0177
 -12.750  -1.1354   0.02304   0.01772  -0.0687   0.9888   0.0179
 -12.500  -1.1138   0.02224   0.01687  -0.0693   0.9875   0.0181
 -12.250  -1.0894   0.02149   0.01607  -0.0702   0.9865   0.0183
 -12.000  -1.0635   0.02078   0.01532  -0.0714   0.9856   0.0185
 -11.750  -1.0369   0.02002   0.01452  -0.0728   0.9849   0.0188
 -11.500  -1.0097   0.01927   0.01374  -0.0742   0.9844   0.0192
 -11.250  -0.9818   0.01863   0.01308  -0.0756   0.9839   0.0196
 -11.000  -0.9657   0.01806   0.01249  -0.0745   0.9814   0.0199
 -10.750  -0.9426   0.01752   0.01193  -0.0746   0.9796   0.0203
 -10.500  -0.9165   0.01699   0.01138  -0.0753   0.9785   0.0208
 -10.250  -0.8890   0.01650   0.01086  -0.0763   0.9775   0.0213
 -10.000  -0.8605   0.01603   0.01037  -0.0773   0.9767   0.0217
  -9.750  -0.8314   0.01556   0.00988  -0.0785   0.9761   0.0223
  -9.500  -0.8016   0.01509   0.00941  -0.0797   0.9755   0.0232
  -9.250  -0.7714   0.01467   0.00899  -0.0810   0.9750   0.0241
  -9.000  -0.7404   0.01429   0.00859  -0.0824   0.9746   0.0250
  -8.750  -0.7088   0.01393   0.00822  -0.0838   0.9742   0.0259
  -8.500  -0.6769   0.01353   0.00784  -0.0853   0.9738   0.0272
  -8.250  -0.6447   0.01318   0.00750  -0.0868   0.9735   0.0286
  -8.000  -0.6125   0.01288   0.00718  -0.0882   0.9732   0.0298
  -7.750  -0.5800   0.01255   0.00686  -0.0897   0.9730   0.0313
  -7.500  -0.5477   0.01225   0.00658  -0.0911   0.9727   0.0331
  -7.250  -0.5156   0.01200   0.00633  -0.0924   0.9725   0.0347
  -7.000  -0.4985   0.01176   0.00610  -0.0905   0.9692   0.0360
  -6.750  -0.4695   0.01150   0.00586  -0.0911   0.9682   0.0380
  -6.500  -0.4395   0.01127   0.00564  -0.0919   0.9673   0.0397
  -6.250  -0.4085   0.01104   0.00542  -0.0928   0.9666   0.0417
  -6.000  -0.3769   0.01080   0.00520  -0.0939   0.9660   0.0443
  -5.750  -0.3451   0.01059   0.00501  -0.0950   0.9654   0.0469
  -5.500  -0.3129   0.01035   0.00482  -0.0962   0.9649   0.0516
  -5.250  -0.2804   0.01012   0.00465  -0.0975   0.9645   0.0587
  -5.000  -0.2476   0.00988   0.00448  -0.0988   0.9642   0.0681
  -4.750  -0.2147   0.00967   0.00433  -0.1001   0.9638   0.0769
  -4.500  -0.1817   0.00947   0.00419  -0.1015   0.9635   0.0865
  -4.250  -0.1487   0.00929   0.00406  -0.1028   0.9632   0.0968
  -3.750  -0.0810   0.00887   0.00381  -0.1058   0.9627   0.1271
  -3.500  -0.0447   0.00861   0.00366  -0.1078   0.9623   0.1495
  -3.250  -0.0062   0.00832   0.00349  -0.1102   0.9618   0.1725
  -3.000   0.0337   0.00800   0.00329  -0.1130   0.9613   0.2045
  -2.750   0.0791   0.00752   0.00298  -0.1170   0.9605   0.2447
  -2.500   0.1116   0.00701   0.00268  -0.1181   0.9537   0.2985
  -2.250   0.1640   0.00602   0.00212  -0.1241   0.9487   0.4233
  -2.000   0.2073   0.00529   0.00177  -0.1280   0.9416   0.5348
  -1.750   0.2446   0.00504   0.00175  -0.1298   0.9314   0.6074
  -1.500   0.2775   0.00502   0.00175  -0.1305   0.9143   0.6263
  -1.250   0.2927   0.00641   0.00181  -0.1272   0.6066   0.6359
  -1.000   0.3103   0.00749   0.00213  -0.1250   0.4102   0.6423
  -0.750   0.3356   0.00795   0.00229  -0.1244   0.3336   0.6470
  -0.500   0.3625   0.00831   0.00241  -0.1241   0.2798   0.6520
  -0.250   0.3886   0.00869   0.00259  -0.1236   0.2290   0.6557
   0.000   0.4142   0.00906   0.00284  -0.1229   0.1899   0.6592
   0.250   0.4404   0.00941   0.00306  -0.1222   0.1604   0.6631
   0.500   0.4676   0.00970   0.00323  -0.1219   0.1337   0.6661
   0.750   0.4955   0.00994   0.00334  -0.1218   0.1117   0.6676
   1.000   0.5237   0.01013   0.00345  -0.1217   0.0975   0.6685
   1.250   0.5517   0.01033   0.00357  -0.1216   0.0844   0.6694
