  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000   0.5088   0.01063   0.00473  -0.1166   0.2053   0.6896
   1.250   0.5343   0.01095   0.00489  -0.1159   0.1656   0.6906
   1.500   0.5611   0.01122   0.00500  -0.1156   0.1325   0.6914
   1.750   0.5883   0.01145   0.00511  -0.1154   0.1083   0.6920
   2.000   0.6154   0.01169   0.00525  -0.1151   0.0891   0.6928
   2.250   0.6428   0.01191   0.00538  -0.1149   0.0744   0.6935
   2.500   0.6706   0.01211   0.00551  -0.1148   0.0643   0.6941
   2.750   0.6984   0.01233   0.00567  -0.1146   0.0570   0.6948
   3.000   0.7265   0.01248   0.00580  -0.1146   0.0531   0.6955
   3.250   0.7540   0.01273   0.00601  -0.1144   0.0490   0.6963
   3.500   0.7821   0.01288   0.00616  -0.1143   0.0465   0.6971
   3.750   0.8098   0.01313   0.00636  -0.1142   0.0435   0.6977
   4.000   0.8378   0.01332   0.00655  -0.1141   0.0415   0.6984
   4.250   0.8658   0.01350   0.00671  -0.1140   0.0394   0.6990
   4.500   0.8928   0.01384   0.00702  -0.1137   0.0371   0.6996
   4.750   0.9205   0.01403   0.00723  -0.1136   0.0359   0.7004
   5.000   0.9481   0.01425   0.00744  -0.1134   0.0345   0.7011
   5.250   0.9754   0.01452   0.00769  -0.1132   0.0332   0.7016
   5.500   1.0015   0.01496   0.00813  -0.1127   0.0317   0.7020
   5.750   1.0288   0.01519   0.00838  -0.1125   0.0310   0.7024
   6.000   1.0558   0.01546   0.00866  -0.1122   0.0300   0.7027
   6.250   1.0825   0.01575   0.00895  -0.1119   0.0292   0.7030
   6.500   1.1086   0.01612   0.00931  -0.1115   0.0283   0.7033
   6.750   1.1329   0.01674   0.00995  -0.1107   0.0273   0.7035
   7.000   1.1603   0.01693   0.01017  -0.1106   0.0269   0.7043
   7.250   1.1865   0.01724   0.01052  -0.1102   0.0263   0.7050
   7.500   1.2122   0.01758   0.01090  -0.1097   0.0257   0.7056
   7.750   1.2376   0.01796   0.01130  -0.1091   0.0253   0.7059
   8.000   1.2626   0.01835   0.01171  -0.1085   0.0248   0.7063
   8.250   1.2871   0.01881   0.01219  -0.1078   0.0243   0.7067
   8.500   1.3096   0.01951   0.01292  -0.1068   0.0238   0.7070
   8.750   1.3306   0.02044   0.01393  -0.1055   0.0234   0.7074
   9.000   1.3546   0.02089   0.01444  -0.1047   0.0232   0.7078
   9.250   1.3779   0.02140   0.01502  -0.1038   0.0229   0.7081
   9.500   1.4006   0.02198   0.01566  -0.1028   0.0226   0.7085
   9.750   1.4228   0.02259   0.01635  -0.1017   0.0224   0.7089
  10.000   1.4443   0.02325   0.01708  -0.1005   0.0221   0.7093
  10.250   1.4655   0.02391   0.01780  -0.0993   0.0218   0.7097
  10.500   1.4861   0.02460   0.01856  -0.0980   0.0216   0.7100
  10.750   1.5062   0.02528   0.01931  -0.0967   0.0213   0.7105
  11.000   1.5259   0.02594   0.02002  -0.0953   0.0211   0.7111
  11.250   1.5450   0.02660   0.02073  -0.0938   0.0208   0.7116
  11.500   1.5627   0.02738   0.02156  -0.0921   0.0206   0.7121
  11.750   1.5777   0.02841   0.02267  -0.0900   0.0204   0.7124
  12.000   1.5893   0.02977   0.02413  -0.0875   0.0201   0.7128
  12.250   1.5915   0.03213   0.02669  -0.0838   0.0199   0.7131
  12.500   1.6029   0.03308   0.02776  -0.0812   0.0198   0.7134
  12.750   1.6079   0.03400   0.02879  -0.0775   0.0197   0.7138
  13.000   1.6140   0.03510   0.03000  -0.0742   0.0196   0.7141
  13.250   1.6184   0.03639   0.03141  -0.0709   0.0195   0.7144
  13.500   1.6212   0.03780   0.03296  -0.0676   0.0194   0.7147
  13.750   1.6220   0.03943   0.03472  -0.0642   0.0194   0.7150
  14.000   1.6214   0.04119   0.03662  -0.0610   0.0192   0.7153
  14.250   1.6182   0.04325   0.03882  -0.0578   0.0192   0.7155
  14.500   1.6126   0.04562   0.04134  -0.0549   0.0191   0.7158
  14.750   1.6057   0.04825   0.04412  -0.0523   0.0190   0.7160
  15.000   1.5955   0.05143   0.04745  -0.0503   0.0189   0.7162
  15.250   1.5818   0.05528   0.05148  -0.0490   0.0189   0.7164
  15.500   1.5660   0.05991   0.05629  -0.0490   0.0188   0.7166
  15.750   1.5452   0.06597   0.06253  -0.0508   0.0188   0.7168
  16.000   1.5190   0.07422   0.07100  -0.0554   0.0188   0.7170
  16.250   1.4811   0.08655   0.08359  -0.0642   0.0189   0.7170
  16.500   1.4075   0.10792   0.10532  -0.0794   0.0190   0.7168
