  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.750  -0.9131   0.09182   0.08851  -0.0492   1.0000   0.0269
 -15.500  -0.9522   0.08051   0.07699  -0.0565   1.0000   0.0268
 -15.250  -0.9845   0.07177   0.06804  -0.0615   1.0000   0.0267
 -15.000  -1.0103   0.06517   0.06125  -0.0647   1.0000   0.0267
 -14.750  -1.0325   0.05995   0.05586  -0.0664   1.0000   0.0267
 -14.500  -1.0518   0.05572   0.05145  -0.0670   1.0000   0.0268
 -14.250  -1.0681   0.05225   0.04781  -0.0668   1.0000   0.0268
 -14.000  -1.0844   0.04897   0.04437  -0.0659   1.0000   0.0269
 -13.750  -1.0999   0.04559   0.04083  -0.0645   1.0000   0.0271
 -13.500  -1.1085   0.04304   0.03816  -0.0627   1.0000   0.0273
 -13.250  -1.1134   0.04103   0.03606  -0.0607   1.0000   0.0274
 -13.000  -1.1172   0.03929   0.03425  -0.0585   1.0000   0.0276
 -12.750  -1.1209   0.03779   0.03267  -0.0559   1.0000   0.0277
 -12.500  -1.1263   0.03646   0.03126  -0.0528   1.0000   0.0279
 -12.250  -1.1331   0.03527   0.03001  -0.0492   1.0000   0.0280
 -12.000  -1.1304   0.03393   0.02858  -0.0473   1.0000   0.0282
 -11.750  -1.1234   0.03257   0.02713  -0.0460   1.0000   0.0285
 -11.500  -1.1133   0.03122   0.02568  -0.0450   1.0000   0.0288
 -11.250  -1.1004   0.02992   0.02428  -0.0444   1.0000   0.0292
 -11.000  -1.0852   0.02868   0.02294  -0.0439   1.0000   0.0296
 -10.750  -1.0682   0.02750   0.02164  -0.0436   1.0000   0.0300
 -10.500  -1.0495   0.02639   0.02042  -0.0434   1.0000   0.0305
 -10.250  -1.0292   0.02541   0.01931  -0.0433   1.0000   0.0309
 -10.000  -1.0072   0.02458   0.01835  -0.0434   1.0000   0.0313
  -9.750  -0.9894   0.02316   0.01692  -0.0425   1.0000   0.0320
  -9.500  -0.9666   0.02237   0.01614  -0.0426   1.0000   0.0328
  -9.250  -0.9425   0.02170   0.01544  -0.0428   1.0000   0.0336
  -9.000  -0.9178   0.02105   0.01475  -0.0431   1.0000   0.0345
  -8.750  -0.8927   0.02041   0.01404  -0.0434   1.0000   0.0354
  -8.500  -0.8667   0.01988   0.01343  -0.0437   1.0000   0.0362
  -8.250  -0.8414   0.01883   0.01240  -0.0441   1.0000   0.0375
  -8.000  -0.8142   0.01827   0.01185  -0.0448   1.0000   0.0388
  -7.750  -0.7865   0.01777   0.01133  -0.0454   1.0000   0.0402
  -7.500  -0.7585   0.01736   0.01085  -0.0460   1.0000   0.0417
  -7.250  -0.7283   0.01657   0.01010  -0.0474   1.0000   0.0438
  -7.000  -0.6991   0.01618   0.00972  -0.0482   1.0000   0.0460
  -6.750  -0.6701   0.01589   0.00938  -0.0489   1.0000   0.0481
  -6.500  -0.6376   0.01526   0.00881  -0.0506   1.0000   0.0513
  -6.250  -0.6074   0.01495   0.00850  -0.0516   1.0000   0.0542
  -6.000  -0.5751   0.01451   0.00807  -0.0531   1.0000   0.0578
  -5.750  -0.5440   0.01423   0.00782  -0.0542   1.0000   0.0619
  -5.500  -0.5115   0.01389   0.00751  -0.0557   1.0000   0.0671
  -5.250  -0.4804   0.01367   0.00731  -0.0568   1.0000   0.0731
  -5.000  -0.4468   0.01334   0.00706  -0.0585   1.0000   0.0827
  -4.750  -0.4132   0.01305   0.00685  -0.0601   1.0000   0.0957
  -4.500  -0.3784   0.01274   0.00666  -0.0621   1.0000   0.1140
  -4.250  -0.3433   0.01246   0.00652  -0.0641   1.0000   0.1386
  -4.000  -0.3067   0.01215   0.00639  -0.0665   1.0000   0.1729
  -3.750  -0.2679   0.01181   0.00627  -0.0694   1.0000   0.2180
  -3.500  -0.2234   0.01133   0.00611  -0.0738   1.0000   0.2886
  -3.250  -0.1388   0.00983   0.00570  -0.0877   1.0000   0.5377
  -3.000  -0.1243   0.01043   0.00665  -0.0843   1.0000   0.6148
  -2.750  -0.0973   0.01068   0.00682  -0.0841   1.0000   0.6393
  -2.500  -0.0787   0.01116   0.00732  -0.0819   1.0000   0.6487
  -2.250  -0.0565   0.01164   0.00780  -0.0804   0.9995   0.6584
  -2.000  -0.0183   0.01225   0.00843  -0.0818   0.9955   0.6660
  -1.750   0.0244   0.01254   0.00869  -0.0845   0.9909   0.6725
  -1.500   0.0754   0.01290   0.00910  -0.0882   0.9844   0.6755
  -1.250   0.1178   0.01297   0.00922  -0.0902   0.9751   0.6792
  -1.000   0.1628   0.01299   0.00921  -0.0931   0.9684   0.6877
  -0.750   0.2021   0.01286   0.00915  -0.0944   0.9621   0.6896
  -0.500   0.2273   0.01297   0.00932  -0.0927   0.9555   0.6919
  -0.250   0.2603   0.01297   0.00939  -0.0923   0.9492   0.6954
   0.000   0.3061   0.01254   0.00893  -0.0956   0.9389   0.7039
   0.250   0.3389   0.01220   0.00868  -0.0950   0.9311   0.7059
   0.500   0.3620   0.01196   0.00849  -0.0927   0.9181   0.7077
   0.750   0.3787   0.01186   0.00843  -0.0895   0.8956   0.7100
   1.000   0.4455   0.01261   0.00781  -0.0962   0.5812   0.7114
   1.250   0.4608   0.01359   0.00805  -0.0939   0.4166   0.7143
   1.500   0.4936   0.01420   0.00808  -0.0960   0.3014   0.7187
   1.750   0.5208   0.01458   0.00810  -0.0962   0.2222   0.7207
   2.000   0.5441   0.01490   0.00820  -0.0952   0.1726   0.7215
   2.250   0.5690   0.01520   0.00831  -0.0946   0.1335   0.7222
   2.500   0.5937   0.01550   0.00847  -0.0938   0.1061   0.7231
   2.750   0.6189   0.01582   0.00866  -0.0932   0.0879   0.7241
   3.000   0.6456   0.01608   0.00885  -0.0929   0.0761   0.7251
   3.250   0.6737   0.01627   0.00901  -0.0929   0.0690   0.7260
   3.500   0.7018   0.01654   0.00924  -0.0930   0.0633   0.7269
   3.750   0.7297   0.01679   0.00946  -0.0930   0.0588   0.7282
   4.000   0.7579   0.01710   0.00976  -0.0932   0.0550   0.7295
   4.250   0.7873   0.01733   0.00997  -0.0936   0.0519   0.7305
   4.500   0.8153   0.01782   0.01041  -0.0938   0.0490   0.7314
